full_name,search,search2,additiona_search,name,name__alternate,last_name,last_name__alternate,nickname,role
Dedalus Diggle,Dedalus,Dedalus,0,Dedalus,,Diggle,,,member of the Order of the Phoenix who took the Dursleys into hiding
Amos Diggory,Amos,Amos,0,Amos,,Diggory,,,"works for the Department for the Regulation and Control of Magical Creatures, father of Cedric Diggory"
Cedric Diggory,Cedric,Cedric,0,Cedric,,Diggory,,,"Hufflepuff student two years above Harry, school prefect, Quidditch Seeker and captain, co-winner of the Triwizard Tournament"
Elphias Doge,Elphias,Elphias,0,Elphias,,Doge,,,School friend of Albus Dumbledore
Antonin Dolohov,Antonin,Antonin,0,Antonin,,Dolohov,,,"Death Eater who killed Fabian Prewett, Gideon Prewett, and Remus Lupin."
Aberforth Dumbledore,Aberforth,Aberforth,0,Aberforth,,Dumbledore,,,"Brother of Albus and Ariana Dumbledore, owner of the Hog's Head"
Albus Dumbledore,Dumbledore,Dumbledore,0,Albus,,Dumbledore,,,"Hogwarts Headmaster in Harry Potter's time, Transfiguration professor in Tom Riddle's time, founder of the Order of the Phoenix."
Dudley Dursley,Dudley,Dudley,0,Dudley,,Dursley,,,"Muggle son of Vernon Dursley and Petunia Evans, first cousin of Harry Potter"
Marjorie Dursley,Marge,Marge,0,Marjorie,Marge,Dursley,Dursley,,"Muggle sister of Vernon Dursley, breeds bulldogs, her favourite one named Ripper."
Petunia Dursley,Petunia,Petunia,0,Petunia,,Dursley,Evans,,"Harry's aunt, the sister of his mother Lily. Married to Vernon Dursley and mother of Dudley Dursley"
Vernon Dursley,Vernon,Dursley,1,Vernon,,Dursley,,,"Harry Potter's muggle uncle, married to his aunt Petunia and father of Dudley Dursley."
Marietta Edgecombe,Marietta,Marietta,0,Marietta,,Edgecombe,,,"Ravenclaw student one year above Harry, member of Dumbledore's Army"
Arabella Figg,Arabella,Arabella,0,Arabella,,Figg,,,"Squib neighbour of the Dursleys', member of the Order of the Phoenix."
Argus Filch,Filch,Filch,0,Argus,,Filch,,,Squib caretaker of Hogwarts
Justin Finch-Fletchley,Justin,Justin,0,Justin,,Finch-Fletchley,,,"Muggle-born Hufflepuff student in Harry's year, a member of Dumbledore's Army."
Seamus Finnigan,Seamus,Seamus,0,Seamus,,Finnigan,,,"Irish Gryffindor student in Harry's year, a member of Dumbledore's Army, best friend of Dean Thomas."
Marcus Flint,Marcus,Marcus,0,Marcus,,Flint,,,Slytherin sixth year Quidditch captain
Mundungus Fletcher,Mundungus,Mundungus,0,Mundungus,,Fletcher,,,Common thief and shifty member of the Order of the Phoenix
Filius Flitwick,Filius,Filius,0,Filius,,Flitwick,,,Charms professor at Hogwarts and Head of Ravenclaw
Florean Fortescue,Florean,Florean,0,Florean,,Fortescue,,,"Ice cream vendor at Diagon Alley, supplied free ice creams to Harry, kidnapped and killed by Death Eaters"
Cornelius Fudge,Cornelius,Cornelius,0,Cornelius,,Fudge,,,"Minister for Magic in the first five books, sacked when he denied Lord Voldemort's return for a year."
Marvolo Gaunt,Marvolo,Marvolo,0,Marvolo,,Gaunt,,,"Pure-blood Father of Merope and Morfin Gaunt, grandfather of Tom Marvolo Riddle."
Merope Gaunt,Merope,Merope,0,Merope,,Gaunt,,,"The mother of Tom Marvolo Riddle/Lord Voldemort, died after childbirth."
Morfin Gaunt,Morfin,Morfin,0,Morfin,,Gaunt,,,"Son of Marvolo Gaunt, brother of Merope Gaunt, uncle of Tom Marvolo Riddle, framed by his nephew for Muggle killings."
Anthony Goldstein,Anthony,Anthony,0,Anthony,,Goldstein,,,"Ravenclaw student in Harry's year, member of Dumbledore's Army"
Gregory Goyle,Goyle,Gregory,0,Gregory,,Goyle,,,"Slytherin student in Harry's year, Slytherin Quidditch Beater, a member of the Inquisitorial Squad."
Hermione Granger,Hermione,Hermione,0,Hermione,,Granger,,,"Muggle-born Gryffindor student in Harry's year, one of Harry's best friends, founder of Dumbledore's Army, Gryffindor Prefect."
Astoria Greengrass,Astoria,Astoria,0,Astoria,,Greengrass,,,"Wife to Draco and mother to Scorpius Malfoy. She mysteriously dies in Harry Potter and the Cursed Child, which leaves her son greatly depressed at Hogwarts."
Gregorovitch,Gregorovitch,Gregorovitch,0,,,Gregorovitch,,,highly regarded East European wand-maker.
Fenrir Greyback,Fenrir,Fenrir,0,Fenrir,,Greyback,,,Werewolf working for the Death-eaters
Gellert Grindelwald,Grindelwald,Grindelwald,0,Gellert,,Grindelwald,,,"Dark Wizard, jailed since Albus Dumbledore defeated him in the 1940s."
Wilhelmina Grubbly-Plank,Wilhelmina,Wilhelmina,0,Wilhelmina,,Grubbly-Plank,,,Substitute Care of Magical Creatures professor during Harry's fourth year.
Godric Gryffindor,Godric,Godric,0,Godric,,Gryffindor,,,"Founder of Gryffindor, owned and enchanted the Sorting Hat."
Rubeus Hagrid,Hagrid,Hagrid,0,Rubeus,,Hagrid,,,"Half-giant Keeper of Keys and Grounds at Hogwarts, Care of Magical Creatures professor starting from Harry's third year, a member of the Order of the Phoenix. Once a Hogwarts student, Hagrid was expelled in his third year."
Madam Hooch,Hooch,Hooch,0,,,Hooch,,,"Hogwarts flying instructor, Quidditch referee"
Mafalda Hopkirk,Mafalda,Mafalda,0,Mafalda,,Hopkirk,,,"Witch who works in the Ministry of Magic, impersonated by Hermione Granger in Deathly Hallows."
Helga Hufflepuff,Helga,Helga,0,Helga,,Hufflepuff,,,Founder of Hufflepuff.
Lee Jordan,Lee,Lee,0,Lee,,Jordan,,,"Gryffindor student two years above Harry, Hogwarts Quidditch commentator, good friend of Fred and George Weasley at Hogwarts"
Bertha Jorkins,Bertha,Bertha,0,Bertha,,Jorkins,,,witch from the Ministry of Magic who was murdered by Voldemort.
Igor Karkaroff,Karkaroff,Karkaroff,1,Igor,,Karkaroff,,,"Reformed Death Eater, Headmaster of Durmstrang."
Viktor Krum,Viktor,Krum,1,Viktor,,Krum,,,"Durmstrang student, Bulgarian Quidditch Seeker, participated in the Triwizard Tournament."
Bellatrix Lestrange,Bellatrix,Bellatrix,0,Bellatrix,,Lestrange,Black,,Death Eater who tortured Frank and Alice Longbottom into insanity.
Rabastan Lestrange,Rabastan,Rabastan,0,Rabastan,,Lestrange,,,"Death Eater, brother of Rodolphus Lestrange"
Rodolphus Lestrange,Rodolphus,Rodolphus,0,Rodolphus,,Lestrange,,,"Death Eater, brother of Rabastan Lestrange, husband of Bellatrix Lestrange"
Gilderoy Lockhart,Lockhart,Gilderoy,1,Gilderoy,,Lockhart,,,"Fraudulent celebrity author, Defence Against the Dark Arts teacher."
Alice Longbottom,Alice,Alice,0,Alice,,Longbottom,,,"Wife of Frank Longbottom, mother of Neville Longbottom, member of the original Order of the Phoenix, Auror, tortured into insanity by Bellatrix Lestrange along with her husband"
Augusta Longbottom,Augusta,Augusta,0,Augusta,,Longbottom,,,Mother of Frank Longbottom and grandmother of Neville Longbottom
Frank Longbottom,Frank,Frank,0,Frank,,Longbottom,,,"Father of Neville Longbottom, a member of the original Order of the Phoenix, Auror, tortured into insanity by Bellatrix Lestrange along with his wife."
Neville Longbottom,Neville,Neville,0,Neville,,Longbottom,,,"Gryffindor student in Harry's year, a member of Dumbledore's Army."
Luna Lovegood,Luna,Luna,0,Luna,,Lovegood,,,"Ravenclaw student one year below Harry, a member of Dumbledore's Army."
Xenophilius Lovegood,Xenophilius,Xenophilius,0,Xenophilius,,Lovegood,,,"Father of Luna Lovegood, and editor of The Quibbler."
Remus Lupin,Lupin,Lupin,0,Remus,,Lupin,,,"Gryffindor student before Harry's time, a friend of James Potter, werewolf, Professor of Defence Against the Dark Arts in Harry's third year, and member of the Order of the Phoenix."
Edward Remus Lupin,Edward,Edward,0,Edward Remus,Remus,Lupin,,,Son of Remus Lupin and Nymphadora Tonks. Hufflepuff student. Also known as Teddy Lupin.
Walden Macnair,Walden,Walden,0,Walden,,Macnair,,,"The Committee of Disposal of Dangerous Creatures's executioner, also a Death-Eater"
Draco Malfoy,Draco,Draco,0,Draco,,Malfoy,,,"Slytherin student in Harry's year, Slytherin Quidditch Seeker, school prefect, member of the Inquisitorial Squad."
Lucius Malfoy,Lucius,Lucius,0,Lucius,,Malfoy,,,"Draco Malfoy's father, an influential Death-Eater, and, early in the series, governor of Hogwarts"
Narcissa Malfoy,Narcissa,Narcissa,0,Narcissa,,Malfoy,Black,,"Lucius Malfoy's wife and Draco Malfoy's mother, sister of Bellatrix Lestrange and Andromeda Tonks."
Scorpius Malfoy,Scorpius,Scorpius,0,Scorpius,,Malfoy,,,"Son of Draco Malfoy and Astoria Greengrass, friend of Albus Potter."
Madam Malkin,Malkin,Malkin,0,Madam,,Malkin,,,Clothes shop owner at Diagon Alley
Griselda Marchbanks,Griselda,Griselda,0,Griselda,,Marchbanks,,,"Governor of the Wizarding Examinations Authority which ran the O.W.L, N.E.W.T., and W.O.M.B.A.T. exams, Wizengamot elder"
Madam Marsh,Marsh,Marsh,0,Madam,,Marsh,,,An old lady travelling on the knight bus in the summer of 1993.She was heading for Abergavanny looking quite ill.
Olympe Maxime,Maxime,Maxime,0,Olympe,,Maxime,,,"Half-giantess, Headmistress of Beauxbatons"
Ernie Macmillan,Ernie,Ernie,0,Ernie,,Macmillan,,,"Hufflepuff student in Harry's year, school prefect, member of Dumbledore's Army"
Minerva McGonagall,McGonagall,Minerva,1,Minerva,,McGonagall,,,"Hogwarts Transfiguration professor, Head of Gryffindor House, Deputy Headmistress of Hogwarts, a member of the Order of the Phoenix."
Cormac McLaggen,Cormac,Cormac,0,Cormac,,McLaggen,,,"Gryffindor student one year above Harry Potter,in love with Hermione Granger member of the Slug Club and went with Hermione to the Slug Club Christmas Party"
Graham Montague,Graham,Graham,0,Graham,,Montague,,,Slytherin student who played Chaser on the Slytherin Quidditch Team
Alastor Mad-Eye Moody,Mad-Eye,Alastor,1,Alastor,Mad-Eye,Moody,,,"Retired Auror, member of the Order of the Phoenix, impersonated by Barty Crouch Jr. in 'The Goblet of Fire'"
Auntie Muriel,Muriel,Muriel,0,Auntie,,Muriel,,,Ron Weasley's old aunt.
Theodore Nott,Theodore,Theodore,0,Theodore,,Nott,,,"A Slytherin student in the same year as Harry Potter. Theadore Nott is one of the few students who can see Thestrals, suggesting that he has witnessed a death at some point. His father is a Death Eater and described as an elderly widower."
Bob Ogden,Bob,Bob,0,Bob,,Ogden,,,"Wizard in the Department of Magical Law Enforcement, led the Magical Law Enforcement Squad in the 1920s. He went to the Gaunts' home after Morfin Gaunt used magic in front a muggle and subsequently turned the Gaunts over to the Wizengamot."
Garrick Ollivander,Garrick,Garrick,0,Garrick,,Ollivander,,,"Wandmaker, owner of the Ollivanders shop."
Pansy Parkinson,Pansy,Pansy,0,Pansy,,Parkinson,,,"Slytherin student in Harry's year, school prefect, a member of the Inquisitorial Squad, Draco Malfoy's girlfriend for some time."
Padma Patil,Padma,Padma,0,Padma,,Patil,,,"Ravenclaw student in Harry's year, identical twin sister of Gryffindor Parvati Patil, a member of Dumbledore's Army."
Parvati Patil,Parvati,Parvati,0,Parvati,,Patil,,,"Gryffindor student in Harry's year, identical twin sister of Ravenclaw Padma Patil, a member of Dumbledore's Army."
Peter Pettigrew,Pettigrew,Peter,1,Peter,,Pettigrew,,,"Former school friend of James Potter, Sirius Black and Remus Lupin. Betrays James and Lily Potter. Death Eater, an unregistered animagus, Pettigrew is first introduced as a rat known as Scabbers."
Antioch Peverell,Antioch,Antioch,0,Antioch,,Peverell,,,Original owner of The Elder Wand in The Tale of the Three Brothers.
Cadmus Peverell,Cadmus,Cadmus,0,Cadmus,,Peverell,,,Original owner of The Resurrection Stone in The Tale of the Three Brothers
Ignotus Peverell,Ignotus,Ignotus,0,Ignotus,,Peverell,,,Original owner of The Invisibility Cloak in The Tale of the Three Brothers.
Irma Pince,Irma,Irma,0,Irma,,Pince,,,Hogwarts librarian
Sturgis Podmore,Sturgis,Sturgis,0,Sturgis,,Podmore,,,"Member of the Order of the Phoenix, imprisoned in Azkaban"
Poppy Pomfrey,Poppy,Poppy,0,Poppy,,Pomfrey,,,Hogwarts school nurse
Harry Potter,Harry,Harry,0,Harry,,Potter,,,"The main character of the series, orphaned son of James Potter and Lily Evans and student at Hogwarts"
James Potter,James,James,0,James,,Potter,,,"Harry Potter's father, a member of the Order of the Phoenix, murdered by Lord Voldemort before the series begins."
Lily Potter,Lily,Lily,0,Lily,,Potter,Evans,,"Harry Potter's mother, a member of the Order of the Phoenix, murdered by Lord Voldemort before the series begins."
Quirinus Quirrell,Quirinus,Quirinus,0,Quirinus,,Quirrell,,,"Defence Against the Dark Arts professor in Harry's first year, possessed by Lord Voldemort, and was killed in Philosopher's Stone."
Helena Ravenclaw,Helena,Helena,0,Helena,,Ravenclaw,,The Grey Lady,"Daughter of Rowena Ravenclaw, stole her mother's diadem and hid it, killed by the Bloody Baron and became Ravenclaw's house ghost."
Rowena Ravenclaw,Rowena,Rowena,0,Rowena,,Ravenclaw,,,"Founder of Ravenclaw, mother of Helena Ravenclaw"
Voldemort,Voldemort,Tom,1,Tom,,Marvolo,Riddle,Voldemort,see Lord Voldemort.
Demelza Robins,Demelza,Demelza,0,Demelza,,Robins,,,"a student at Hogwarts School of Witchcraft and Wizardry, sorted into Gryffindor House. She was a Chaser for the Gryffindor Quidditch team, and was noted to be particularly skilled at dodging Bludgers."
Augustus Rookwood,Augustus,Augustus,0,Augustus,,Rookwood,,,"Death Eater, spy working in the Department of Mysteries"
Albert Runcorn,Albert,Albert,0,Albert,,Runcorn,,,was a Ministry of Magic employee of high rank during the administration under Pius Thicknesse. His chief function was an investigator of alleged Muggle-borns.
Newt Scamander,Newt,Newt,0,Newt,,Scamander,,,"Author of ""Fantastic Beasts and Where To Find Them"".Was a hufflepuff and great with making cures for different sicknesses."
Rufus Scrimgeour,Rufus,Scrimgeour,1,Rufus,,Scrimgeour,,,"Head of the Auror Office, replaces Cornelius Fudge as Minister for Magic."
Kingsley Shacklebolt,Kingsley,Kingsley,0,Kingsley,,Shacklebolt,,,"Auror, replaces Pius Thicknesse as Minister for Magic, member of the Order of the Phoenix"
Stanley Shaunpike,Stanley,Stanley,0,Stanley,,Shaunpike,,,"Conductor of the Knight Bus, later jailed in Azkaban on suspicions of being a death-eater."
Aurora Sinistra,Aurora,Aurora,0,Aurora,,Sinistra,,,"Professor and member of the Astronomy Department at Hogwarts, a witch with dark skin, hair, and eyes."
Rita Skeeter,Rita,Skeeter,1,Rita,,Skeeter,,,"Reporter for the Daily Prophet, author of The Life and Lies of Albus Dumbledore, unregistered animagus."
Horace Slughorn,Horace,Horace,0,Horace,,Slughorn,,,Former Potions professor at Hogwarts and Head of Slytherin House who taught Tom Marvolo Riddle and returns to Hogwarts in Harry's sixth year.
Salazar Slytherin,Salazar,Salazar,0,Salazar,,Slytherin,,,"Founder of Slytherin, creator of the Chamber of Secrets."
Hepzibah Smith,Hepzibah,Hepzibah,0,Hepzibah,,Smith,,,"Elderly, wealthy antique collector, descendant of Helga Hufflepuff, murdered and robbed by Tom Marvolo Riddle"
Zacharias Smith,Zacharias,Zacharias,0,Zacharias,,Smith,,,"Hufflepuff student, a member of Dumbledore's Army."
Severus Snape,Snape,Severus,1,Severus,,Snape,,,"Hogwarts, Potions and later Defence Against the Dark Arts professor, Head of Slytherin House, a member of both the Death Eaters and the Order of the Phoenix to spy for Dumbledore."
Alicia Spinnet,Alicia,Alicia,0,Alicia,,Spinnet,,,"Chaser on the Gryffindor Quidditch team, two years above Harry Potter at Hogwarts. Member of Dumbledore's Army."
Pomona Sprout,Sprout,Pomona,1,Pomona,,Sprout,,,"Hogwarts Herbology professor, Head of Hufflepuff House."
Pius Thicknesse,Pius,Pius,0,Pius,,Thicknesse,,,"Minister for Magic while under the Imperius Curse, later replaced by Kingsley Shacklebolt."
Dean Thomas,Dean,Dean,0,Dean,,Thomas,,,"Gryffindor student in Harry's year, a member of Dumbledore's Army, briefly Ginny Weasley's boyfriend, Gryffindor Quidditch Chaser."
Andromeda Tonks,Andromeda,Andromeda,0,Andromeda,,Tonks,Black,,"Sister of Bellatrix Lestrange and Narcissa Malfoy, disowned by her family for marrying Muggle-born Ted Tonks, mother of Nymphadora Tonks."
Nymphadora Tonks,Tonks,Tonks,0,Nymphadora,,Tonks,,,"Daughter of Ted and Andromeda Tonks, Auror and member of the Order of the Phoenix. She marries Remus Lupin, and become the mother of Teddy Lupin."
Ted Tonks,Ted,Ted,0,Ted,,Tonks,,,Muggle-born husband of Andromeda and father of Nymphadora Tonks.
Travers,Travers,Travers,0,,,Travers,,,was a wizard and a Death Eater. Escaped from Azkaban after Lord Voldemort's return.
Sybill Trelawney,Trelawney,Sybill,1,Sybill,,Trelawney,,,"Hogwarts Divination professor, predicted the prophecy that prompted Lord Voldemort to go after the Potters"
Wilky Twycross,Wilky,Wilky,0,Wilky,,Twycross,,,The apparition instructor in Harry Potter and the Half-Blood Prince
Dolores Jane Umbridge,Umbridge,Dolores,1,Dolores Jane,Dolores,Umbridge,,,"Senior Undersecretary to the Minister for Magic, Defence Against the Dark Arts professor, Hogwarts High Inquisitor, Headmistress of Hogwarts, who enthusiastically joins in the persecution of half-bloods under Voldemort."
Emmeline Vance,Emmeline,Emmeline,0,Emmeline,,Vance,,,"a member of the party that brings Harry to Grimmauld Place, a member of the Order of the Phoenix. Described as ""A stately looking witch in an emerald green shawl""."
Romilda Vane,Romilda,Romilda,0,Romilda,,Vane,,,Hogwarts student who tried to romance Harry with Chocolate Cauldrons containing a love potion from Weasley's Wizard Wheezes
Septima Vector,Septima,Septima,0,Septima,,Vector,,,Arithmancy professor at Hogwarts.
Angelina Weasley,Angelina,Angelina,0,Angelina,,Weasley,Johnson,,"Gryffindor student two years above Harry, Quidditch Chaser and later captain."
Myrtle Elizabeth Warren,Myrtle,Myrtle,0,Myrtle Elizabeth,Myrtle,Warren,,Moaning Myrtle,Known as Moaning Myrtle the ghost haunting the girls washroom on the first floor and prefects washroom.She was a Ravenclaw student and killed in the girls washrooms by a basilisk at age fourteen.
Arthur Weasley,Arthur,Arthur,0,Arthur,,Weasley,,,"Muggle-obsessed Ministry of Magic employee. Husband of Molly Weasley, father of Bill, Charlie, Percy, Fred, George, Ron, and Ginny Weasley, member of the Order of the Phoenix"
Bill Weasley,Bill,Bill,0,Bill,,Weasley,,,"Oldest son of Arthur and Molly Weasley, Gringotts employee, marries Fleur Delacour."
Charlie Weasley,Charlie,Charlie,0,Charlie,,Weasley,,,"Second son of Arthur and Molly Weasley, and a member of the Order of the Phoenix, works with dragons in Romania."
Fred Weasley,Fred,Fred,0,Fred,,Weasley,,,"Son of Arthur and Molly Weasley and identical twin brother of George Weasley, a member of Dumbledore's Army, Gryffindor Quidditch Beater, co-owner of Weasleys' Wizard Wheezes, killed in an explosion caused by Augustus Rookwood in the Battle of Hogwarts."
George Weasley,George,George,0,George,,Weasley,,,"Son of Arthur and Molly Weasley and identical twin brother of Fred Weasley, member of Dumbledore's Army, Gryffindor Quidditch Beater, co-owner of Weasleys' Wizard Wheezes."
Ginny Weasley,Ginny,Ginny,0,Ginny,,Weasley,,,"Only daughter and youngest child of Arthur and Molly Weasley, Gryffindor student one year under Harry, Gryffindor Quidditch Seeker and Chaser, a member of Dumbledore's Army."
Hugo Weasley,Hugo,Hugo,0,Hugo,,Weasley,,,Son of Ron Weasley and Hermione Granger.
Molly Weasley,Molly,Molly,0,Molly,,Weasley,Prewett,,"Wife of Arthur Weasley, mother of Bill, Charlie, Percy, Fred, George, Ron and Ginny Weasley, a member of the Order of the Phoenix."
Percy Weasley,Percy,Percy,0,Percy,,Weasley,,,"Third son of Arthur and Molly Weasley, Gryffindor prefect and Head Boy then Ministry of Magic employee, long estranged from his family before joining them against the Death Eaters in Deathly Hallows,"
Ron Weasley,Ron,Ron,0,Ron,,Weasley,,,"Best friends with Harry Potter and Hermione Granger, youngest Son of Arthur and Molly Weasley, Gryffindor Quidditch Keeper, school prefect, a member of Dumbledore's Army"
Rose Weasley,Rose,Rose,0,Rose,,Weasley,,,Ron Weasley and Hermione Granger's daughter.
Oliver Wood,Oliver,Oliver,0,Oliver,,Wood,,,"Hogwarts student, Gryffindor Quidditch Keeper and captain."
Yaxley,Yaxley,Yaxley,0,,,Yaxley,,,"Death Eater, Head of Magical Law Enforcement under Voldemort's regime."
Blaise Zabini,Blaise,Blaise,0,Blaise,,Zabini,,,"Slytherin student in Harry's year, friends with Draco Malfoy."
Aragog,Aragog,Aragog,0,Aragog,,,,,"Giant spider raised by Rubeus Hagrid, lives in the Forbidden Forest."
Bane,Bane,Bane,0,Bane,,,,,"Centaur, not very wizard-friendly."
Beedle the Bard,Beedle,Beedle,0,,,,,Beedle the Bard,"Author of several Wizarding fairy tales, including The Tale of the Three Brothers"
The Bloody Baron,Baron,Baron,0,,,,,The Bloody Baron,"Slytherin House ghost, suitor and killer of Helena Ravenclaw, killed himself in remorse"
Bogrod,Bogrod,Bogrod,0,,,Bogrod,,,"Goblin, Bank teller at Gringotts Wizarding Bank. Put under the Imperius curse when Harry, Ron, and Hermione broke into Gringotts."
Buckbeak,Buckbeak,Buckbeak,0,Buckbeak,Witherwings,,,,"Hippogriff belonging at various times to Rubeus Hagrid, Sirius Black and Harry Potter"
Sir Cadogan,Cadogan,Cadogan,0,,,Cadogan,,,Armoured and somewhat mad knight occupying a painting in Hogwarts
Crookshanks,Crookshanks,Crookshanks,0,Crookshanks,,,,,Intelligent cat belonging to Hermione Granger.
Dobby,Dobby,Dobby,0,Dobby,,,,,"House-elf originally belonging to the Malfoy family, which Harry helps set free in Chamber of Secrets. He becomes the only paid house-elf at Hogwarts."
Errol,Errol,Errol,0,Errol,,,,,Owl belonging to the Weasley family.
Fang,Fang,Fang,0,Fang,,,,,Boarhound belonging to Rubeus Hagrid.
The Fat Friar,Fat Friar,Fat Friar,0,,,,,The Fat Friar,Hufflepuff House ghost.
The Fat Lady,Fat Lady,Fat Lady,0,,,,,The Fat Lady,Witch in the painting that conceals the entrance to the Gryffindor common room.
Fawkes,Fawkes,Fawkes,0,Fawkes,,,,,"Phoenix belonging to Albus Dumbledore, saved Harry Potter from Basilisk in the Chamber of Secrets."
Firenze,Firenze,Firenze,0,Firenze,,,,,"Centaur, professor of Divination at Hogwarts."
Fluffy,Fluffy,Fluffy,0,Fluffy,,,,,"Three-headed dog belonging to Rubeus Hagrid, protector of the Philosopher's Stone."
Gornuk,Gornuk,Gornuk,0,Gornuk,,,,,"A goblin like Griphook who worked at Gringotts and later teamed up with Griphook,Dean Thomas,Ted Tonks,and Dirk Cresswell to hide away during 'The Deathly Hallows'"
Grawp,Grawp,Grawp,0,Grawp,,,,,"Giant, half-brother of Rubeus Hagrid"
Griphook,Griphook,Griphook,0,Griphook,,,,,"Goblin, works at Gringotts Bank which he helps Harry and his friends steal the cup from within the Lestrange vault."
Hedwig,Hedwig,Hedwig,0,Hedwig,,,,,Harry Potter's pet owl
Hokey,Hokey,Hokey,0,Hokey,,,,,House-elf belonging to Hepzibah Smith
